Language,# unique BCTs,black,white,red,yellow,blue,green,brown,#FF9999,orange,gray,purple,#87CEFA,#00008B,#FFB6C1,#8B0000,#FF9933,#B86E25,#60311B,#CCFFCC,#197419,#CCCCCC,#4D4D4D,#B366B3,#4D004D,teal
Tarahumara,6,chócami,rosácami,lánami,sitácami,siyonamí,siyónami,,,,,,,,,,,,,,,,,,,
Tetum,6,metan,mutin,mean,kinur,azúl,modok,,,,,,,,,,,,,,,,,,,
Trumai,6,dat̯,tsi-tore,tsi-omat,tsi-aiixu,tsi-auu,ure ure ue..,,,,,,,,,,,,,,,,,,,
Tuki,6,hiítiti,puúm,orí ówó dekétíi,conáŋ,burúm,ecénécéné,,,,,,,,,,,,,,,,,,,
Veps,6,must,vauged,rusked,pakuine,sini,vihand,,,,,,,,,,,,,,,,,,,
Wai Wai,6,či-čwi-ye,tu-mut-we,ču-ču-re,tɨ-šewe-ke,ti-swa-y,tu-škukuyure,,,,,,,,,,,,,,,,,,,
Zuñi,6,kˀʷi,kˀoha-,šilowa-,ɬupc̄ˀi-,ɬiʔʔa,ʔašena,,,,,,,,,,,,,,,,,,,
Aromanian,7,negru,albu,aroş,galbin,murnu,vearde,cafiringhie,,,,,,,,,,,,,,,,,,
Chinook,7,klale,t’kope,pil,kwakawak,spooh,pechugh,,,,legléy,,,,,,,,,,,,,,,
"Chontal
(Tabasco)",7,ik',sɨk,chɨk,k'ɨn,ik'kutan,yɨx,,,,,ik'pik'an,,,,,,,,,,,,,,
Quechua,7,yana,yuraq,puka,q’ellu,anqas,qomer,chumppi,,,,,,,,,,,,,,,,,,
Shompen,7,kaʔing,kagijāu,kāteob,kaʔugão,komeniaŋ,kãʔoõi,,,,,,,,,,,dark,,,,,,,,
Yapese,7,kool,weachweach,rowrow,magchol,raen e mak'ef,galunglung,,,reng,,,,,,,,,,,,,,,,
Yucatec Maya,7,ik,saak,chak,k'an,yax,yax,ik/chak/k'an,chak,k'an,ik/saak,,,,,,,,,,,,,,,
Oriya,8,କଳା,ଧଳା,ନାଲି,ହଳଦୀଆ,ନୀଳ,ସବୁଜ,ମାଟିଆ,,,ଧୂଷର,,,,,,,,,,,,,,,
Tuvaluan,8,uli,kèna,kùla,sèga,pulú,launiu,,,ólenisi,kulei,,,,,,,,,,,,,,,
Abenaki,9,mkazawi,wôbi,mkui,wizôwi,wlôwi,askaskui,wdamôôbame,,,wibgui,minôbowi,,,,,,,,,,,,,,
